domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
dailymail.co.uk,tabloid newspaper,tabloid newspaper ,fake-news,yellow,
rai.it,public broadcaster,,,,
reuters.com,quality newspaper/magazine,online only media ,center,,
abc.es,quality newspaper/magazine,,,,
20minutos.es,tabloid newspaper,,,,
independent.co.uk,quality newspaper/magazine,quality newspapers/magazines,leftcenter,green,
channel4.com,public broadcaster,,,,
indiatimes.com,quality newspaper/magazine,,right-center,,
thehill.com,quality newspaper/magazine,,center,,
inews.co.uk,quality newspaper/magazine,,leftcenter,,
westernjournal.com,hyperpartisan media,,fake-news,,
dailykos.com,hyperpartisan media,,left,yellow,political
worldjusticenews.com,digital-born news outlet,,,,
cnbc.com,commercial broadcaster,commercial broadcaster,leftcenter,,
standard.co.uk,tabloid newspaper,,right-center,yellow,
uktv.co.uk,public broadcaster,,,,
thetelegraphandargus.co.uk,quality newspaper/magazine,,,,
usnews.com,quality newspaper/magazine,,leftcenter,,
derbytelegraph.co.uk,quality newspaper/magazine,,,,
hulldailymail.co.uk,tabloid newspaper,,,,
dailyrecord.co.uk,tabloid newspaper,,left,,
thegatewaypundit.com,hyperpartisan media,,fake-news,red,bias
plymouthherald.co.uk,quality newspaper/magazine,,,,
kentonline.co.uk,digital-born news outlet,,,,
wired.com,quality newspaper/magazine,,leftcenter,,
politico.com,digital-born news outlet,,center,,
washingtontimes.com,quality newspaper/magazine,,right-center,green,
apnews.com,quality newspaper/magazine,,center,,
theblaze.com,hyperpartisan media,,right,,political
washingtonexaminer.com,quality newspaper/magazine,,right,,political
nbcnews.to,commercial broadcaster,,,,
bostonglobe.com,quality newspaper/magazine,,leftcenter,,
cbsn.ws,commercial broadcaster,,,,
cbsloc.al,commercial broadcaster,,,,
news.com.au,digital-born news outlet,,leftcenter,,
aljazeera.com,commercial broadcaster,,leftcenter,,
suntimes.com,tabloid newspaper,,leftcenter,,
motherjones.com,quality newspaper/magazine,,leftcenter,,
democratandchronicle.com,quality newspaper/magazine,,leftcenter,,
nbcnewyork.com,commercial broadcaster,,,,
noticias24.com,digital-born news outlet,,,,
nationalreview.com,quality newspaper/magazine,,right,,political
rt.com,hyperpartisan media,hyperpartisan news,fake-news,,
vice.com,digital-born news outlet,online only media ,leftcenter,,
theguardian.com,quality newspaper/magazine,quality newspapers/magazines,leftcenter,,
buzzfeed.com,digital-born news outlet,,leftcenter,green,
nytimes.com,quality newspaper/magazine,quality newspapers/magazines,leftcenter,,
roughlyexplained.com,digital-born news outlet,,,,
bbc.com,public broadcaster,public broadcaster,leftcenter,,
mirror.co.uk,tabloid newspaper,tabloid newspaper ,leftcenter,,
cnn.com,commercial broadcaster,commercial broadcaster,left,,
spiegel.de,quality newspaper/magazine,quality newspapers/magazines,leftcenter,,
globo.com,commercial broadcaster,,,,
arcamax.com,digital-born news outlet,online only media ,,,
elpais.com,quality newspaper/magazine,quality newspapers/magazines,leftcenter,,
repubblica.it,quality newspaper/magazine,,,,
businessinsider.com,digital-born news outlet,online only media ,leftcenter,,
bbc.co.uk,public broadcaster,public broadcaster,,,
forbes.com,quality newspaper/magazine,quality newspapers/magazines,right-center,,
bloomberg.com,quality newspaper/magazine,online only media ,leftcenter,,
telegraph.co.uk,quality newspaper/magazine,quality newspapers/magazines,right,green,
ft.com,quality newspaper/magazine,,center,,
usatoday.com,tabloid newspaper,,leftcenter,,
elespanol.com,digital-born news outlet,,,,
rtve.es,public broadcaster,public broadcaster,,,
larepublica.pe,quality newspaper/magazine,,,,
thesun.co.uk,tabloid newspaper,,right,yellow,
telemundo.com,commercial broadcaster,,,,
express.co.uk,tabloid newspaper,tabloid newspaper ,right,orange,rumor
huffingtonpost.com,digital-born news outlet,online only media ,leftcenter,green,
washingtonpost.com,quality newspaper/magazine,quality newspapers/magazines,leftcenter,,
sky.com,commercial broadcaster,,center,,
itv.com,commercial broadcaster,,right-center,,
foxnews.com,commercial broadcaster,,right,green,
uol.com.br,digital-born news outlet,,,,
cbs.com,commercial broadcaster,,,,
newsnow.co.uk,digital-born news outlet,,center,,
nbc.com,commercial broadcaster,,,,
dailystar.co.uk,tabloid newspaper,tabloid newspaper ,fake-news,,
thetimes.co.uk,quality newspaper/magazine,,right-center,,
cbsnews.com,commercial broadcaster,,leftcenter,,
metro.co.uk,tabloid newspaper,tabloid newspaper ,leftcenter,yellow,
nypost.com,tabloid newspaper,,right-center,yellow,
fox.com,commercial broadcaster,,,,
livenewsnow.com,digital-born news outlet,,,,
nbcnews.com,commercial broadcaster,,leftcenter,,
breitbart.com,hyperpartisan media,,fake-news,yellow,political
nbcchicago.com,commercial broadcaster,,,,
thedailybeast.com,digital-born news outlet,,left,,political
sfgate.com,quality newspaper/magazine,,leftcenter,,
patriotnewsalerts.com,hyperpartisan media,,right,,
huffpost.com,digital-born news outlet,online only media ,left,,
huffingtonpost.co.uk,digital-born news outlet,,,,
foxbusiness.com,commercial broadcaster,,,,
diariolibre.com,quality newspaper/magazine,,,,
cbslocal.com,commercial broadcaster,,,,
rte.ie,public broadcaster,,center,,
conservativeinstitute.org,hyperpartisan media,,right,,
observer-reporter.com,quality newspaper/magazine,,,,
news4jax.com,commercial broadcaster,,,,
pbs.org,public broadcaster,,leftcenter,,
fox9.com,commercial broadcaster,,,,
sun-sentinel.com,quality newspaper/magazine,,right-center,,
dailywire.com,hyperpartisan media,,right,orange,bias
dailyconservative.com,hyperpartisan media,,,,
timesofisrael.com,digital-born news outlet,,leftcenter,,
expressandstar.com,quality newspaper/magazine,,,,
conservativedailypost.com,hyperpartisan media,,fake-news,black,fake
buzzfeednews.com,digital-born news outlet,,,,
npr.org,public broadcaster,public broadcaster,leftcenter,,
wpxi.com,commercial broadcaster,,,,
lbc.co.uk,commercial broadcaster,,right-center,,
drudgereport.com,hyperpartisan media,,fake-news,,political
msnbc.com,commercial broadcaster,,left,,
latimes.com,quality newspaper/magazine,,leftcenter,,
time.com,quality newspaper/magazine,,leftcenter,green,
jpost.com,quality newspaper/magazine,,right-center,,
lep.co.uk,quality newspaper/magazine,,,,
eveningtimes.co.uk,tabloid newspaper,,,,
theatlantic.com,quality newspaper/magazine,,leftcenter,,
trinitymirror-news.co.uk,tabloid newspaper,,,,
lincolnshirelive.co.uk,quality newspaper/magazine,,,,
rightwingtribune.com,hyperpartisan media,,fake-news,,
weau.com,commercial broadcaster,,,,
newsweek.com,quality newspaper/magazine,,left,,
chicagotribune.com,quality newspaper/magazine,,right-center,,
nydailynews.com,tabloid newspaper,,leftcenter,,
wsj.com,quality newspaper/magazine,,right-center,,
theepochtimes.com,hyperpartisan media,,right,,
nymag.com,quality newspaper/magazine,,left,,
vox.com,digital-born news outlet,,left,,
cbc.ca,public broadcaster,,leftcenter,,
slate.com,digital-born news outlet,,left,,
fortune.com,quality newspaper/magazine,,right-center,,
fox8.com,commercial broadcaster,,,,
newser.com,digital-born news outlet,,leftcenter,,
abc7.com,commercial broadcaster,,,,
abc7chicago.com,commercial broadcaster,,,,
ndtv.com,commercial broadcaster,,leftcenter,,
miamiherald.com,quality newspaper/magazine,,leftcenter,,
cnn.it,commercial broadcaster,,,,
startribune.com,quality newspaper/magazine,,leftcenter,,
abc13.com,commercial broadcaster,,,,
fox59.com,commercial broadcaster,,,,
goodmorningamerica.com,commercial broadcaster,,,,
6abc.com,commercial broadcaster,,,,
theconversation.com,digital-born news outlet,,center,,
conservativebuzz.com,hyperpartisan media,,fake-news,,
newsday.com,quality newspaper/magazine,,leftcenter,green,
mercurynews.com,quality newspaper/magazine,,leftcenter,,
news12.com,commercial broadcaster,,,,
channel7breakingreport.live,commercial broadcaster,,,,
thefederalist.com,hyperpartisan media,,right,yellow,
